
num_step_0 max_size_of_cache_104 aver_size_of_move_4.90399 num_nodes_2931024
num_step_2 max_size_of_cache_106 aver_size_of_move_4.57927 num_nodes_2212491
num_step_4 max_size_of_cache_106 aver_size_of_move_4.47792 num_nodes_2098906
num_step_6 max_size_of_cache_101 aver_size_of_move_4.49341 num_nodes_739471
num_step_8 max_size_of_cache_88 aver_size_of_move_4.30422 num_nodes_381487
num_step_10 max_size_of_cache_95 aver_size_of_move_4.65733 num_nodes_589492
num_step_12 max_size_of_cache_109 aver_size_of_move_4.75953 num_nodes_1704180
num_step_14 max_size_of_cache_113 aver_size_of_move_5.17952 num_nodes_768946
num_step_16 max_size_of_cache_115 aver_size_of_move_5.06397 num_nodes_2317924
num_step_18 max_size_of_cache_126 aver_size_of_move_4.96578 num_nodes_5497628
num_step_20 max_size_of_cache_126 aver_size_of_move_4.89935 num_nodes_934159
num_step_22 max_size_of_cache_106 aver_size_of_move_4.408 num_nodes_1116274
num_step_24 max_size_of_cache_110 aver_size_of_move_4.34189 num_nodes_1051718
num_step_26 max_size_of_cache_103 aver_size_of_move_4.93157 num_nodes_660830
num_step_28 max_size_of_cache_122 aver_size_of_move_4.70362 num_nodes_3513792
num_step_30 max_size_of_cache_133 aver_size_of_move_4.68896 num_nodes_3143288
num_step_32 max_size_of_cache_118 aver_size_of_move_4.41115 num_nodes_924876
num_step_34 max_size_of_cache_95 aver_size_of_move_4.03794 num_nodes_303548
num_step_36 max_size_of_cache_103 aver_size_of_move_4.02645 num_nodes_509290
num_step_38 max_size_of_cache_109 aver_size_of_move_4.31293 num_nodes_144138
num_step_40 max_size_of_cache_121 aver_size_of_move_4.2795 num_nodes_243786
num_step_42 max_size_of_cache_98 aver_size_of_move_4.00424 num_nodes_61365
num_step_44 max_size_of_cache_103 aver_size_of_move_3.93328 num_nodes_228685
num_step_46 max_size_of_cache_101 aver_size_of_move_3.80297 num_nodes_222888
num_step_48 max_size_of_cache_85 aver_size_of_move_4.6991 num_nodes_77366
num_step_50 max_size_of_cache_51 aver_size_of_move_2.27703 num_nodes_337
